carrier_code,dia_semana_despachado,cross_or_ff,zip_code,validacion_tel,cumplimiento
shipnow,4,1,1900,1,0
shipnow,0,1,1608,1,0
shipnow,2,1,1640,1,0
shipnow,2,1,1613,1,0
shipnow,5,1,1881,1,1
shipnow,2,1,1832,1,0
shipnow,0,1,1884,1,0
shipnow,0,1,1846,1,0
shipnow,0,1,1832,1,0
shipnow,1,0,1667,1,0
shipnow,3,1,1834,1,0
shipnow,2,1,1718,1,0
shipnow,3,1,1704,1,0
bmba,2,1,1848,1,0
shipnow,4,1,1674,1,0
shipnow,2,1,1657,1,0
shipnow,2,1,1661,1,0
iflow,3,1,1900,1,0
shipnow,2,1,1900,1,0
shipnow,2,1,1828,1,0
shipnow,2,1,1713,1,0
shipnow,0,1,1644,1,0
shipnow,1,1,1804,1,0
shipnow,2,1,1663,1,0
shipnow,0,1,1879,1,0
shipnow,1,1,1832,1,0
shipnow,1,1,1623,1,0
shipnow,1,1,1625,1,0
shipnow,3,1,1684,1,0
shipnow,3,1,1663,1,0
shipnow,0,1,1832,1,0
shipnow,2,1,1633,1,0
shipnow,1,1,1625,1,0
shipnow,4,1,1636,1,0
shipnow,3,1,1621,1,0
shipnow,0,1,1606,1,0
shipnow,2,0,1640,1,0
shipnow,1,1,1722,1,0
shipnow,3,1,1614,1,0
shipnow,3,1,1617,1,0
shipnow,3,1,1642,1,0
shipnow,3,1,1706,1,0
shipnow,1,1,1804,1,0
shipnow,2,0,1619,1,0
iflow,1,0,1875,1,0
shipnow,2,1,1605,1,0
shipnow,4,1,1674,1,0
shipnow,1,1,1897,1,0
shipnow,3,1,1686,1,0
shipnow,2,1,1884,1,0
shipnow,4,1,1661,1,0
shipnow,2,0,1609,1,0
shipnow,3,1,1623,1,0
shipnow,3,1,1612,1,0
shipnow,3,1,1884,1,0
shipnow,6,1,1678,1,0
shipnow,3,1,1896,1,0
shipnow,0,1,1878,1,0
shipnow,4,1,1629,1,0
shipnow,3,1,1875,1,0
shipnow,4,1,1629,1,0
shipnow,4,1,1615,1,0
shipnow,3,1,1638,1,0
iflow,5,1,1757,1,0
iflow,1,1,1900,1,0
shipnow,1,1,1663,1,0
iflow,5,1,1824,1,0
iflow,1,1,1822,1,0
shipnow,3,1,1657,1,0
shipnow,2,1,1834,1,0
shipnow,1,1,1714,1,0
shipnow,4,1,1712,1,0
shipnow,3,1,1879,1,0
bmba,2,1,1629,1,0
iflow,1,1,1832,1,0
shipnow,2,1,1885,1,0
shipnow,2,1,1663,1,0
shipnow,2,1,1602,1,0
shipnow,3,1,1900,1,0
shipnow,1,1,1621,1,0
shipnow,2,1,1824,1,0
shipnow,0,1,1870,1,0
shipnow,3,1,1875,1,0
shipnow,2,1,1708,1,0
